sub_path,target_image
../../../../Datasets/images/preprocessed_image\P\P465.jpg,15.0
../../../../Datasets/images/preprocessed_image\M\M181.jpg,12.0
../../../../Datasets/images/preprocessed_image\X\X287.jpg,23.0
../../../../Datasets/images/preprocessed_image\R\R938.jpg,17.0
../../../../Datasets/images/preprocessed_image\F\F161.jpg,5.0
../../../../Datasets/images/preprocessed_image\O\O351.jpg,14.0
../../../../Datasets/images/preprocessed_image\C\C866.jpg,2.0
../../../../Datasets/images/preprocessed_image\I\I680.jpg,8.0
../../../../Datasets/images/preprocessed_image\V\V939.jpg,21.0
../../../../Datasets/images/preprocessed_image\B\B769.jpg,1.0
../../../../Datasets/images/preprocessed_image\C\C388.jpg,2.0
../../../../Datasets/images/preprocessed_image\nothing\nothing719.jpg,26.0
../../../../Datasets/images/preprocessed_image\M\M737.jpg,12.0
../../../../Datasets/images/preprocessed_image\V\V429.jpg,21.0
../../../../Datasets/images/preprocessed_image\J\J30.jpg,9.0
../../../../Datasets/images/preprocessed_image\M\M612.jpg,12.0
../../../../Datasets/images/preprocessed_image\S\S81.jpg,18.0
../../../../Datasets/images/preprocessed_image\U\U271.jpg,20.0
../../../../Datasets/images/preprocessed_image\Q\Q507.jpg,16.0
../../../../Datasets/images/preprocessed_image\F\F677.jpg,5.0
../../../../Datasets/images/preprocessed_image\D\D998.jpg,3.0
../../../../Datasets/images/preprocessed_image\S\S141.jpg,18.0
../../../../Datasets/images/preprocessed_image\F\F412.jpg,5.0
../../../../Datasets/images/preprocessed_image\R\R329.jpg,17.0
../../../../Datasets/images/preprocessed_image\W\W37.jpg,22.0
../../../../Datasets/images/preprocessed_image\D\D332.jpg,3.0
../../../../Datasets/images/preprocessed_image\W\W996.jpg,22.0
../../../../Datasets/images/preprocessed_image\G\G220.jpg,6.0
../../../../Datasets/images/preprocessed_image\S\S192.jpg,18.0
../../../../Datasets/images/preprocessed_image\X\X570.jpg,23.0
../../../../Datasets/images/preprocessed_image\Z\Z523.jpg,25.0
../../../../Datasets/images/preprocessed_image\Z\Z203.jpg,25.0
../../../../Datasets/images/preprocessed_image\nothing\nothing829.jpg,26.0
../../../../Datasets/images/preprocessed_image\H\H77.jpg,7.0
../../../../Datasets/images/preprocessed_image\J\J278.jpg,9.0
../../../../Datasets/images/preprocessed_image\Y\Y357.jpg,24.0
../../../../Datasets/images/preprocessed_image\Q\Q956.jpg,16.0
../../../../Datasets/images/preprocessed_image\nothing\nothing85.jpg,26.0
../../../../Datasets/images/preprocessed_image\P\P153.jpg,15.0
../../../../Datasets/images/preprocessed_image\M\M736.jpg,12.0
../../../../Datasets/images/preprocessed_image\E\E233.jpg,4.0
../../../../Datasets/images/preprocessed_image\O\O985.jpg,14.0
../../../../Datasets/images/preprocessed_image\Q\Q796.jpg,16.0
../../../../Datasets/images/preprocessed_image\M\M544.jpg,12.0
../../../../Datasets/images/preprocessed_image\W\W806.jpg,22.0
../../../../Datasets/images/preprocessed_image\Y\Y126.jpg,24.0
../../../../Datasets/images/preprocessed_image\F\F256.jpg,5.0
../../../../Datasets/images/preprocessed_image\K\K863.jpg,10.0
../../../../Datasets/images/preprocessed_image\O\O766.jpg,14.0
../../../../Datasets/images/preprocessed_image\T\T251.jpg,19.0
../../../../Datasets/images/preprocessed_image\J\J967.jpg,9.0
../../../../Datasets/images/preprocessed_image\Q\Q65.jpg,16.0
../../../../Datasets/images/preprocessed_image\Z\Z956.jpg,25.0
../../../../Datasets/images/preprocessed_image\Y\Y877.jpg,24.0
../../../../Datasets/images/preprocessed_image\L\L557.jpg,11.0
../../../../Datasets/images/preprocessed_image\I\I477.jpg,8.0
../../../../Datasets/images/preprocessed_image\L\L707.jpg,11.0
../../../../Datasets/images/preprocessed_image\A\A804.jpg,0.0
../../../../Datasets/images/preprocessed_image\K\K212.jpg,10.0
../../../../Datasets/images/preprocessed_image\G\G332.jpg,6.0
../../../../Datasets/images/preprocessed_image\nothing\nothing954.jpg,26.0
../../../../Datasets/images/preprocessed_image\S\S505.jpg,18.0
../../../../Datasets/images/preprocessed_image\K\K631.jpg,10.0
../../../../Datasets/images/preprocessed_image\H\H426.jpg,7.0
../../../../Datasets/images/preprocessed_image\U\U392.jpg,20.0
../../../../Datasets/images/preprocessed_image\A\A472.jpg,0.0
../../../../Datasets/images/preprocessed_image\T\T825.jpg,19.0
../../../../Datasets/images/preprocessed_image\A\A506.jpg,0.0
../../../../Datasets/images/preprocessed_image\Z\Z536.jpg,25.0
../../../../Datasets/images/preprocessed_image\D\D116.jpg,3.0
../../../../Datasets/images/preprocessed_image\S\S130.jpg,18.0
../../../../Datasets/images/preprocessed_image\H\H459.jpg,7.0
../../../../Datasets/images/preprocessed_image\H\H362.jpg,7.0
../../../../Datasets/images/preprocessed_image\K\K772.jpg,10.0
../../../../Datasets/images/preprocessed_image\L\L99.jpg,11.0
../../../../Datasets/images/preprocessed_image\J\J759.jpg,9.0
../../../../Datasets/images/preprocessed_image\Y\Y780.jpg,24.0
../../../../Datasets/images/preprocessed_image\D\D519.jpg,3.0
../../../../Datasets/images/preprocessed_image\J\J937.jpg,9.0
../../../../Datasets/images/preprocessed_image\F\F732.jpg,5.0
../../../../Datasets/images/preprocessed_image\U\U192.jpg,20.0
../../../../Datasets/images/preprocessed_image\P\P3.jpg,15.0
../../../../Datasets/images/preprocessed_image\U\U804.jpg,20.0
../../../../Datasets/images/preprocessed_image\E\E256.jpg,4.0
../../../../Datasets/images/preprocessed_image\B\B653.jpg,1.0
../../../../Datasets/images/preprocessed_image\J\J362.jpg,9.0
../../../../Datasets/images/preprocessed_image\S\S536.jpg,18.0
../../../../Datasets/images/preprocessed_image\Z\Z526.jpg,25.0
../../../../Datasets/images/preprocessed_image\Y\Y812.jpg,24.0
../../../../Datasets/images/preprocessed_image\C\C791.jpg,2.0
../../../../Datasets/images/preprocessed_image\R\R62.jpg,17.0
../../../../Datasets/images/preprocessed_image\D\D604.jpg,3.0
../../../../Datasets/images/preprocessed_image\B\B273.jpg,1.0
../../../../Datasets/images/preprocessed_image\W\W676.jpg,22.0
../../../../Datasets/images/preprocessed_image\P\P805.jpg,15.0
../../../../Datasets/images/preprocessed_image\T\T569.jpg,19.0
../../../../Datasets/images/preprocessed_image\E\E228.jpg,4.0
../../../../Datasets/images/preprocessed_image\D\D495.jpg,3.0
../../../../Datasets/images/preprocessed_image\nothing\nothing811.jpg,26.0
../../../../Datasets/images/preprocessed_image\Z\Z732.jpg,25.0
../../../../Datasets/images/preprocessed_image\I\I743.jpg,8.0
../../../../Datasets/images/preprocessed_image\W\W46.jpg,22.0
../../../../Datasets/images/preprocessed_image\nothing\nothing533.jpg,26.0
../../../../Datasets/images/preprocessed_image\Q\Q744.jpg,16.0
../../../../Datasets/images/preprocessed_image\K\K90.jpg,10.0
../../../../Datasets/images/preprocessed_image\M\M489.jpg,12.0
../../../../Datasets/images/preprocessed_image\A\A923.jpg,0.0
../../../../Datasets/images/preprocessed_image\P\P649.jpg,15.0
../../../../Datasets/images/preprocessed_image\X\X178.jpg,23.0
../../../../Datasets/images/preprocessed_image\U\U712.jpg,20.0
../../../../Datasets/images/preprocessed_image\X\X189.jpg,23.0
../../../../Datasets/images/preprocessed_image\Q\Q397.jpg,16.0
../../../../Datasets/images/preprocessed_image\C\C730.jpg,2.0
../../../../Datasets/images/preprocessed_image\nothing\nothing957.jpg,26.0
../../../../Datasets/images/preprocessed_image\G\G31.jpg,6.0
../../../../Datasets/images/preprocessed_image\S\S286.jpg,18.0
../../../../Datasets/images/preprocessed_image\G\G209.jpg,6.0
../../../../Datasets/images/preprocessed_image\A\A975.jpg,0.0
../../../../Datasets/images/preprocessed_image\W\W795.jpg,22.0
../../../../Datasets/images/preprocessed_image\F\F6.jpg,5.0
../../../../Datasets/images/preprocessed_image\K\K247.jpg,10.0
../../../../Datasets/images/preprocessed_image\N\N864.jpg,13.0
../../../../Datasets/images/preprocessed_image\M\M465.jpg,12.0
../../../../Datasets/images/preprocessed_image\J\J449.jpg,9.0
../../../../Datasets/images/preprocessed_image\X\X676.jpg,23.0
../../../../Datasets/images/preprocessed_image\T\T671.jpg,19.0
../../../../Datasets/images/preprocessed_image\F\F296.jpg,5.0
../../../../Datasets/images/preprocessed_image\H\H387.jpg,7.0
../../../../Datasets/images/preprocessed_image\N\N862.jpg,13.0
../../../../Datasets/images/preprocessed_image\K\K916.jpg,10.0
../../../../Datasets/images/preprocessed_image\V\V256.jpg,21.0
../../../../Datasets/images/preprocessed_image\nothing\nothing251.jpg,26.0
../../../../Datasets/images/preprocessed_image\nothing\nothing734.jpg,26.0
../../../../Datasets/images/preprocessed_image\S\S106.jpg,18.0
../../../../Datasets/images/preprocessed_image\V\V359.jpg,21.0
../../../../Datasets/images/preprocessed_image\Z\Z366.jpg,25.0
../../../../Datasets/images/preprocessed_image\Q\Q647.jpg,16.0
../../../../Datasets/images/preprocessed_image\M\M559.jpg,12.0
../../../../Datasets/images/preprocessed_image\A\A639.jpg,0.0
../../../../Datasets/images/preprocessed_image\Z\Z436.jpg,25.0
../../../../Datasets/images/preprocessed_image\T\T149.jpg,19.0
../../../../Datasets/images/preprocessed_image\Q\Q399.jpg,16.0
../../../../Datasets/images/preprocessed_image\R\R618.jpg,17.0
../../../../Datasets/images/preprocessed_image\Q\Q962.jpg,16.0
../../../../Datasets/images/preprocessed_image\H\H786.jpg,7.0
../../../../Datasets/images/preprocessed_image\I\I282.jpg,8.0
../../../../Datasets/images/preprocessed_image\V\V947.jpg,21.0
../../../../Datasets/images/preprocessed_image\D\D336.jpg,3.0
../../../../Datasets/images/preprocessed_image\J\J943.jpg,9.0
../../../../Datasets/images/preprocessed_image\Z\Z813.jpg,25.0
../../../../Datasets/images/preprocessed_image\E\E26.jpg,4.0
../../../../Datasets/images/preprocessed_image\A\A582.jpg,0.0
../../../../Datasets/images/preprocessed_image\H\H805.jpg,7.0
../../../../Datasets/images/preprocessed_image\E\E249.jpg,4.0
../../../../Datasets/images/preprocessed_image\U\U966.jpg,20.0
../../../../Datasets/images/preprocessed_image\D\D885.jpg,3.0
../../../../Datasets/images/preprocessed_image\V\V220.jpg,21.0
../../../../Datasets/images/preprocessed_image\R\R797.jpg,17.0
../../../../Datasets/images/preprocessed_image\J\J789.jpg,9.0
../../../../Datasets/images/preprocessed_image\D\D546.jpg,3.0
../../../../Datasets/images/preprocessed_image\W\W782.jpg,22.0
../../../../Datasets/images/preprocessed_image\G\G308.jpg,6.0
../../../../Datasets/images/preprocessed_image\U\U790.jpg,20.0
../../../../Datasets/images/preprocessed_image\nothing\nothing231.jpg,26.0
../../../../Datasets/images/preprocessed_image\T\T650.jpg,19.0
../../../../Datasets/images/preprocessed_image\L\L887.jpg,11.0
../../../../Datasets/images/preprocessed_image\M\M380.jpg,12.0
../../../../Datasets/images/preprocessed_image\C\C691.jpg,2.0
../../../../Datasets/images/preprocessed_image\Z\Z395.jpg,25.0
../../../../Datasets/images/preprocessed_image\A\A353.jpg,0.0
../../../../Datasets/images/preprocessed_image\Q\Q450.jpg,16.0
../../../../Datasets/images/preprocessed_image\X\X821.jpg,23.0
../../../../Datasets/images/preprocessed_image\Q\Q703.jpg,16.0
../../../../Datasets/images/preprocessed_image\A\A815.jpg,0.0
../../../../Datasets/images/preprocessed_image\O\O326.jpg,14.0
../../../../Datasets/images/preprocessed_image\I\I900.jpg,8.0
../../../../Datasets/images/preprocessed_image\Q\Q535.jpg,16.0
../../../../Datasets/images/preprocessed_image\K\K697.jpg,10.0
../../../../Datasets/images/preprocessed_image\Y\Y336.jpg,24.0
../../../../Datasets/images/preprocessed_image\F\F703.jpg,5.0
../../../../Datasets/images/preprocessed_image\U\U312.jpg,20.0
../../../../Datasets/images/preprocessed_image\X\X6.jpg,23.0
../../../../Datasets/images/preprocessed_image\H\H894.jpg,7.0
../../../../Datasets/images/preprocessed_image\J\J268.jpg,9.0
../../../../Datasets/images/preprocessed_image\N\N222.jpg,13.0
../../../../Datasets/images/preprocessed_image\E\E296.jpg,4.0
../../../../Datasets/images/preprocessed_image\E\E841.jpg,4.0
../../../../Datasets/images/preprocessed_image\C\C632.jpg,2.0
../../../../Datasets/images/preprocessed_image\P\P690.jpg,15.0
../../../../Datasets/images/preprocessed_image\B\B965.jpg,1.0
../../../../Datasets/images/preprocessed_image\F\F228.jpg,5.0
../../../../Datasets/images/preprocessed_image\U\U103.jpg,20.0
../../../../Datasets/images/preprocessed_image\B\B458.jpg,1.0
../../../../Datasets/images/preprocessed_image\H\H718.jpg,7.0
../../../../Datasets/images/preprocessed_image\X\X144.jpg,23.0
../../../../Datasets/images/preprocessed_image\H\H882.jpg,7.0
../../../../Datasets/images/preprocessed_image\Z\Z578.jpg,25.0
../../../../Datasets/images/preprocessed_image\S\S811.jpg,18.0
../../../../Datasets/images/preprocessed_image\X\X619.jpg,23.0
../../../../Datasets/images/preprocessed_image\Q\Q480.jpg,16.0
../../../../Datasets/images/preprocessed_image\V\V471.jpg,21.0
../../../../Datasets/images/preprocessed_image\N\N14.jpg,13.0
../../../../Datasets/images/preprocessed_image\S\S472.jpg,18.0
../../../../Datasets/images/preprocessed_image\P\P340.jpg,15.0
../../../../Datasets/images/preprocessed_image\C\C608.jpg,2.0
../../../../Datasets/images/preprocessed_image\H\H951.jpg,7.0
../../../../Datasets/images/preprocessed_image\J\J320.jpg,9.0
../../../../Datasets/images/preprocessed_image\U\U661.jpg,20.0
../../../../Datasets/images/preprocessed_image\X\X361.jpg,23.0
../../../../Datasets/images/preprocessed_image\D\D958.jpg,3.0
../../../../Datasets/images/preprocessed_image\F\F114.jpg,5.0
../../../../Datasets/images/preprocessed_image\B\B261.jpg,1.0
../../../../Datasets/images/preprocessed_image\R\R826.jpg,17.0
../../../../Datasets/images/preprocessed_image\G\G274.jpg,6.0
../../../../Datasets/images/preprocessed_image\S\S378.jpg,18.0
../../../../Datasets/images/preprocessed_image\E\E759.jpg,4.0
../../../../Datasets/images/preprocessed_image\U\U461.jpg,20.0
../../../../Datasets/images/preprocessed_image\nothing\nothing740.jpg,26.0
../../../../Datasets/images/preprocessed_image\O\O78.jpg,14.0
../../../../Datasets/images/preprocessed_image\B\B235.jpg,1.0
../../../../Datasets/images/preprocessed_image\F\F646.jpg,5.0
../../../../Datasets/images/preprocessed_image\X\X114.jpg,23.0
../../../../Datasets/images/preprocessed_image\N\N150.jpg,13.0
../../../../Datasets/images/preprocessed_image\Y\Y154.jpg,24.0
../../../../Datasets/images/preprocessed_image\T\T92.jpg,19.0
../../../../Datasets/images/preprocessed_image\O\O822.jpg,14.0
../../../../Datasets/images/preprocessed_image\N\N490.jpg,13.0
../../../../Datasets/images/preprocessed_image\Q\Q732.jpg,16.0
../../../../Datasets/images/preprocessed_image\nothing\nothing183.jpg,26.0
../../../../Datasets/images/preprocessed_image\H\H735.jpg,7.0
../../../../Datasets/images/preprocessed_image\A\A526.jpg,0.0
../../../../Datasets/images/preprocessed_image\T\T939.jpg,19.0
../../../../Datasets/images/preprocessed_image\J\J197.jpg,9.0
../../../../Datasets/images/preprocessed_image\Z\Z903.jpg,25.0
../../../../Datasets/images/preprocessed_image\M\M366.jpg,12.0
../../../../Datasets/images/preprocessed_image\I\I695.jpg,8.0
../../../../Datasets/images/preprocessed_image\V\V502.jpg,21.0
../../../../Datasets/images/preprocessed_image\S\S719.jpg,18.0
../../../../Datasets/images/preprocessed_image\Q\Q99.jpg,16.0
../../../../Datasets/images/preprocessed_image\S\S579.jpg,18.0
../../../../Datasets/images/preprocessed_image\D\D215.jpg,3.0
../../../../Datasets/images/preprocessed_image\I\I454.jpg,8.0
../../../../Datasets/images/preprocessed_image\D\D855.jpg,3.0
../../../../Datasets/images/preprocessed_image\E\E630.jpg,4.0
../../../../Datasets/images/preprocessed_image\J\J965.jpg,9.0
../../../../Datasets/images/preprocessed_image\J\J689.jpg,9.0
../../../../Datasets/images/preprocessed_image\nothing\nothing195.jpg,26.0
../../../../Datasets/images/preprocessed_image\Z\Z40.jpg,25.0
../../../../Datasets/images/preprocessed_image\P\P76.jpg,15.0
../../../../Datasets/images/preprocessed_image\R\R563.jpg,17.0
../../../../Datasets/images/preprocessed_image\N\N750.jpg,13.0
../../../../Datasets/images/preprocessed_image\V\V152.jpg,21.0
../../../../Datasets/images/preprocessed_image\K\K41.jpg,10.0
../../../../Datasets/images/preprocessed_image\J\J379.jpg,9.0
../../../../Datasets/images/preprocessed_image\Y\Y377.jpg,24.0
../../../../Datasets/images/preprocessed_image\D\D210.jpg,3.0
../../../../Datasets/images/preprocessed_image\K\K782.jpg,10.0
../../../../Datasets/images/preprocessed_image\M\M216.jpg,12.0
../../../../Datasets/images/preprocessed_image\C\C151.jpg,2.0
../../../../Datasets/images/preprocessed_image\D\D169.jpg,3.0
../../../../Datasets/images/preprocessed_image\V\V794.jpg,21.0
../../../../Datasets/images/preprocessed_image\F\F851.jpg,5.0
../../../../Datasets/images/preprocessed_image\R\R558.jpg,17.0
../../../../Datasets/images/preprocessed_image\D\D187.jpg,3.0
../../../../Datasets/images/preprocessed_image\Z\Z879.jpg,25.0
../../../../Datasets/images/preprocessed_image\G\G64.jpg,6.0
../../../../Datasets/images/preprocessed_image\V\V856.jpg,21.0
../../../../Datasets/images/preprocessed_image\J\J920.jpg,9.0
../../../../Datasets/images/preprocessed_image\A\A67.jpg,0.0
../../../../Datasets/images/preprocessed_image\L\L886.jpg,11.0
../../../../Datasets/images/preprocessed_image\F\F203.jpg,5.0
../../../../Datasets/images/preprocessed_image\X\X506.jpg,23.0
../../../../Datasets/images/preprocessed_image\Y\Y378.jpg,24.0
../../../../Datasets/images/preprocessed_image\U\U87.jpg,20.0
../../../../Datasets/images/preprocessed_image\F\F822.jpg,5.0
../../../../Datasets/images/preprocessed_image\B\B6.jpg,1.0
../../../../Datasets/images/preprocessed_image\A\A79.jpg,0.0
../../../../Datasets/images/preprocessed_image\D\D834.jpg,3.0
../../../../Datasets/images/preprocessed_image\nothing\nothing412.jpg,26.0
../../../../Datasets/images/preprocessed_image\Y\Y358.jpg,24.0
../../../../Datasets/images/preprocessed_image\Q\Q909.jpg,16.0
../../../../Datasets/images/preprocessed_image\A\A500.jpg,0.0
../../../../Datasets/images/preprocessed_image\A\A856.jpg,0.0
../../../../Datasets/images/preprocessed_image\F\F823.jpg,5.0
../../../../Datasets/images/preprocessed_image\V\V571.jpg,21.0
../../../../Datasets/images/preprocessed_image\A\A202.jpg,0.0
../../../../Datasets/images/preprocessed_image\U\U440.jpg,20.0
../../../../Datasets/images/preprocessed_image\L\L372.jpg,11.0
../../../../Datasets/images/preprocessed_image\I\I360.jpg,8.0
../../../../Datasets/images/preprocessed_image\E\E318.jpg,4.0
../../../../Datasets/images/preprocessed_image\J\J629.jpg,9.0
../../../../Datasets/images/preprocessed_image\F\F171.jpg,5.0
../../../../Datasets/images/preprocessed_image\R\R134.jpg,17.0
../../../../Datasets/images/preprocessed_image\Q\Q242.jpg,16.0
../../../../Datasets/images/preprocessed_image\Y\Y707.jpg,24.0
../../../../Datasets/images/preprocessed_image\B\B37.jpg,1.0
../../../../Datasets/images/preprocessed_image\T\T179.jpg,19.0
../../../../Datasets/images/preprocessed_image\I\I307.jpg,8.0
../../../../Datasets/images/preprocessed_image\K\K227.jpg,10.0
../../../../Datasets/images/preprocessed_image\Z\Z406.jpg,25.0
../../../../Datasets/images/preprocessed_image\B\B785.jpg,1.0
../../../../Datasets/images/preprocessed_image\C\C117.jpg,2.0
../../../../Datasets/images/preprocessed_image\P\P535.jpg,15.0
../../../../Datasets/images/preprocessed_image\S\S432.jpg,18.0
../../../../Datasets/images/preprocessed_image\F\F599.jpg,5.0
../../../../Datasets/images/preprocessed_image\D\D74.jpg,3.0
../../../../Datasets/images/preprocessed_image\V\V622.jpg,21.0
../../../../Datasets/images/preprocessed_image\Y\Y824.jpg,24.0
../../../../Datasets/images/preprocessed_image\D\D563.jpg,3.0
../../../../Datasets/images/preprocessed_image\Z\Z162.jpg,25.0
../../../../Datasets/images/preprocessed_image\W\W499.jpg,22.0
../../../../Datasets/images/preprocessed_image\W\W557.jpg,22.0
../../../../Datasets/images/preprocessed_image\R\R459.jpg,17.0
../../../../Datasets/images/preprocessed_image\K\K985.jpg,10.0
../../../../Datasets/images/preprocessed_image\A\A454.jpg,0.0
../../../../Datasets/images/preprocessed_image\H\H942.jpg,7.0
../../../../Datasets/images/preprocessed_image\K\K405.jpg,10.0
../../../../Datasets/images/preprocessed_image\Y\Y141.jpg,24.0
../../../../Datasets/images/preprocessed_image\O\O318.jpg,14.0
../../../../Datasets/images/preprocessed_image\H\H836.jpg,7.0
../../../../Datasets/images/preprocessed_image\W\W182.jpg,22.0
../../../../Datasets/images/preprocessed_image\N\N812.jpg,13.0
../../../../Datasets/images/preprocessed_image\X\X40.jpg,23.0
../../../../Datasets/images/preprocessed_image\K\K669.jpg,10.0
../../../../Datasets/images/preprocessed_image\N\N224.jpg,13.0
../../../../Datasets/images/preprocessed_image\N\N206.jpg,13.0
../../../../Datasets/images/preprocessed_image\F\F371.jpg,5.0
../../../../Datasets/images/preprocessed_image\W\W577.jpg,22.0
../../../../Datasets/images/preprocessed_image\B\B700.jpg,1.0
../../../../Datasets/images/preprocessed_image\U\U782.jpg,20.0
../../../../Datasets/images/preprocessed_image\O\O90.jpg,14.0
../../../../Datasets/images/preprocessed_image\H\H284.jpg,7.0
../../../../Datasets/images/preprocessed_image\U\U149.jpg,20.0
../../../../Datasets/images/preprocessed_image\Y\Y401.jpg,24.0
../../../../Datasets/images/preprocessed_image\X\X376.jpg,23.0
../../../../Datasets/images/preprocessed_image\I\I301.jpg,8.0
../../../../Datasets/images/preprocessed_image\N\N314.jpg,13.0
../../../../Datasets/images/preprocessed_image\R\R397.jpg,17.0
../../../../Datasets/images/preprocessed_image\N\N839.jpg,13.0
../../../../Datasets/images/preprocessed_image\F\F867.jpg,5.0
../../../../Datasets/images/preprocessed_image\X\X171.jpg,23.0
../../../../Datasets/images/preprocessed_image\U\U582.jpg,20.0
../../../../Datasets/images/preprocessed_image\G\G241.jpg,6.0
../../../../Datasets/images/preprocessed_image\K\K549.jpg,10.0
../../../../Datasets/images/preprocessed_image\B\B334.jpg,1.0
../../../../Datasets/images/preprocessed_image\W\W853.jpg,22.0
../../../../Datasets/images/preprocessed_image\I\I20.jpg,8.0
../../../../Datasets/images/preprocessed_image\F\F322.jpg,5.0
../../../../Datasets/images/preprocessed_image\X\X203.jpg,23.0
../../../../Datasets/images/preprocessed_image\G\G992.jpg,6.0
../../../../Datasets/images/preprocessed_image\Y\Y499.jpg,24.0
../../../../Datasets/images/preprocessed_image\G\G993.jpg,6.0
../../../../Datasets/images/preprocessed_image\Q\Q787.jpg,16.0
../../../../Datasets/images/preprocessed_image\C\C768.jpg,2.0
../../../../Datasets/images/preprocessed_image\H\H823.jpg,7.0
../../../../Datasets/images/preprocessed_image\nothing\nothing592.jpg,26.0
../../../../Datasets/images/preprocessed_image\T\T48.jpg,19.0
../../../../Datasets/images/preprocessed_image\T\T941.jpg,19.0
../../../../Datasets/images/preprocessed_image\L\L679.jpg,11.0
../../../../Datasets/images/preprocessed_image\R\R382.jpg,17.0
../../../../Datasets/images/preprocessed_image\S\S100.jpg,18.0
../../../../Datasets/images/preprocessed_image\Z\Z440.jpg,25.0
../../../../Datasets/images/preprocessed_image\J\J692.jpg,9.0
../../../../Datasets/images/preprocessed_image\S\S19.jpg,18.0
../../../../Datasets/images/preprocessed_image\F\F317.jpg,5.0
../../../../Datasets/images/preprocessed_image\H\H115.jpg,7.0
../../../../Datasets/images/preprocessed_image\K\K500.jpg,10.0
../../../../Datasets/images/preprocessed_image\Q\Q812.jpg,16.0
../../../../Datasets/images/preprocessed_image\I\I816.jpg,8.0
../../../../Datasets/images/preprocessed_image\N\N79.jpg,13.0
../../../../Datasets/images/preprocessed_image\S\S348.jpg,18.0
../../../../Datasets/images/preprocessed_image\R\R737.jpg,17.0
../../../../Datasets/images/preprocessed_image\M\M446.jpg,12.0
../../../../Datasets/images/preprocessed_image\B\B325.jpg,1.0
../../../../Datasets/images/preprocessed_image\Q\Q415.jpg,16.0
../../../../Datasets/images/preprocessed_image\M\M869.jpg,12.0
../../../../Datasets/images/preprocessed_image\Y\Y43.jpg,24.0
../../../../Datasets/images/preprocessed_image\I\I394.jpg,8.0
../../../../Datasets/images/preprocessed_image\nothing\nothing91.jpg,26.0
../../../../Datasets/images/preprocessed_image\Q\Q969.jpg,16.0
../../../../Datasets/images/preprocessed_image\F\F307.jpg,5.0
../../../../Datasets/images/preprocessed_image\S\S216.jpg,18.0
../../../../Datasets/images/preprocessed_image\M\M658.jpg,12.0
../../../../Datasets/images/preprocessed_image\Y\Y347.jpg,24.0
../../../../Datasets/images/preprocessed_image\U\U896.jpg,20.0
../../../../Datasets/images/preprocessed_image\O\O491.jpg,14.0
../../../../Datasets/images/preprocessed_image\Q\Q115.jpg,16.0
