sub_path,target
output/preprocessed_image\U\U380.jpg,20.0
output/preprocessed_image\L\L309.jpg,11.0
output/preprocessed_image\P\P250.jpg,15.0
output/preprocessed_image\nothing\nothing51.jpg,26.0
output/preprocessed_image\R\R303.jpg,17.0
output/preprocessed_image\C\C210.jpg,2.0
output/preprocessed_image\U\U416.jpg,20.0
output/preprocessed_image\M\M11.jpg,12.0
output/preprocessed_image\B\B437.jpg,1.0
output/preprocessed_image\D\D151.jpg,3.0
output/preprocessed_image\P\P466.jpg,15.0
output/preprocessed_image\U\U139.jpg,20.0
output/preprocessed_image\V\V331.jpg,21.0
output/preprocessed_image\Z\Z419.jpg,25.0
output/preprocessed_image\C\C96.jpg,2.0
output/preprocessed_image\F\F389.jpg,5.0
output/preprocessed_image\Y\Y468.jpg,24.0
output/preprocessed_image\B\B142.jpg,1.0
output/preprocessed_image\G\G134.jpg,6.0
output/preprocessed_image\A\A253.jpg,0.0
output/preprocessed_image\Y\Y485.jpg,24.0
output/preprocessed_image\N\N312.jpg,13.0
output/preprocessed_image\M\M331.jpg,12.0
output/preprocessed_image\G\G279.jpg,6.0
output/preprocessed_image\L\L260.jpg,11.0
output/preprocessed_image\T\T384.jpg,19.0
output/preprocessed_image\B\B489.jpg,1.0
output/preprocessed_image\M\M263.jpg,12.0
output/preprocessed_image\E\E356.jpg,4.0
output/preprocessed_image\W\W120.jpg,22.0
output/preprocessed_image\K\K468.jpg,10.0
output/preprocessed_image\L\L492.jpg,11.0
output/preprocessed_image\Q\Q17.jpg,16.0
output/preprocessed_image\D\D192.jpg,3.0
output/preprocessed_image\J\J300.jpg,9.0
output/preprocessed_image\H\H463.jpg,7.0
output/preprocessed_image\H\H166.jpg,7.0
output/preprocessed_image\Q\Q46.jpg,16.0
output/preprocessed_image\S\S29.jpg,18.0
output/preprocessed_image\P\P354.jpg,15.0
output/preprocessed_image\R\R477.jpg,17.0
output/preprocessed_image\K\K392.jpg,10.0
output/preprocessed_image\B\B352.jpg,1.0
output/preprocessed_image\nothing\nothing249.jpg,26.0
output/preprocessed_image\Z\Z36.jpg,25.0
output/preprocessed_image\G\G338.jpg,6.0
output/preprocessed_image\A\A229.jpg,0.0
output/preprocessed_image\I\I36.jpg,8.0
output/preprocessed_image\J\J133.jpg,9.0
output/preprocessed_image\O\O315.jpg,14.0
output/preprocessed_image\D\D364.jpg,3.0
output/preprocessed_image\O\O142.jpg,14.0
output/preprocessed_image\nothing\nothing331.jpg,26.0
output/preprocessed_image\K\K44.jpg,10.0
output/preprocessed_image\S\S107.jpg,18.0
output/preprocessed_image\X\X111.jpg,23.0
output/preprocessed_image\S\S457.jpg,18.0
output/preprocessed_image\G\G300.jpg,6.0
output/preprocessed_image\W\W439.jpg,22.0
output/preprocessed_image\G\G207.jpg,6.0
output/preprocessed_image\nothing\nothing88.jpg,26.0
output/preprocessed_image\V\V185.jpg,21.0
output/preprocessed_image\E\E438.jpg,4.0
output/preprocessed_image\Z\Z4.jpg,25.0
output/preprocessed_image\M\M338.jpg,12.0
output/preprocessed_image\O\O438.jpg,14.0
output/preprocessed_image\M\M492.jpg,12.0
output/preprocessed_image\J\J27.jpg,9.0
output/preprocessed_image\nothing\nothing106.jpg,26.0
output/preprocessed_image\H\H347.jpg,7.0
output/preprocessed_image\M\M175.jpg,12.0
output/preprocessed_image\S\S496.jpg,18.0
output/preprocessed_image\L\L271.jpg,11.0
output/preprocessed_image\M\M430.jpg,12.0
output/preprocessed_image\N\N364.jpg,13.0
output/preprocessed_image\W\W483.jpg,22.0
output/preprocessed_image\U\U330.jpg,20.0
output/preprocessed_image\Q\Q194.jpg,16.0
output/preprocessed_image\G\G129.jpg,6.0
output/preprocessed_image\R\R367.jpg,17.0
output/preprocessed_image\G\G341.jpg,6.0
output/preprocessed_image\Q\Q389.jpg,16.0
output/preprocessed_image\Z\Z59.jpg,25.0
output/preprocessed_image\nothing\nothing276.jpg,26.0
output/preprocessed_image\P\P247.jpg,15.0
output/preprocessed_image\A\A140.jpg,0.0
output/preprocessed_image\X\X312.jpg,23.0
output/preprocessed_image\X\X70.jpg,23.0
output/preprocessed_image\A\A207.jpg,0.0
output/preprocessed_image\V\V43.jpg,21.0
output/preprocessed_image\T\T337.jpg,19.0
output/preprocessed_image\D\D455.jpg,3.0
output/preprocessed_image\H\H447.jpg,7.0
output/preprocessed_image\D\D255.jpg,3.0
output/preprocessed_image\E\E47.jpg,4.0
output/preprocessed_image\T\T133.jpg,19.0
output/preprocessed_image\E\E294.jpg,4.0
output/preprocessed_image\R\R47.jpg,17.0
output/preprocessed_image\T\T163.jpg,19.0
output/preprocessed_image\X\X367.jpg,23.0
output/preprocessed_image\K\K36.jpg,10.0
output/preprocessed_image\nothing\nothing397.jpg,26.0
output/preprocessed_image\nothing\nothing442.jpg,26.0
output/preprocessed_image\K\K492.jpg,10.0
output/preprocessed_image\F\F178.jpg,5.0
output/preprocessed_image\C\C328.jpg,2.0
output/preprocessed_image\I\I477.jpg,8.0
output/preprocessed_image\Y\Y257.jpg,24.0
output/preprocessed_image\B\B126.jpg,1.0
output/preprocessed_image\T\T323.jpg,19.0
output/preprocessed_image\P\P201.jpg,15.0
output/preprocessed_image\X\X491.jpg,23.0
output/preprocessed_image\H\H442.jpg,7.0
output/preprocessed_image\C\C44.jpg,2.0
output/preprocessed_image\W\W154.jpg,22.0
output/preprocessed_image\X\X315.jpg,23.0
output/preprocessed_image\G\G51.jpg,6.0
output/preprocessed_image\E\E253.jpg,4.0
output/preprocessed_image\O\O465.jpg,14.0
output/preprocessed_image\E\E172.jpg,4.0
output/preprocessed_image\S\S315.jpg,18.0
output/preprocessed_image\Q\Q106.jpg,16.0
output/preprocessed_image\J\J391.jpg,9.0
output/preprocessed_image\R\R41.jpg,17.0
output/preprocessed_image\D\D361.jpg,3.0
output/preprocessed_image\Z\Z480.jpg,25.0
output/preprocessed_image\L\L402.jpg,11.0
output/preprocessed_image\S\S225.jpg,18.0
output/preprocessed_image\R\R34.jpg,17.0
output/preprocessed_image\W\W196.jpg,22.0
output/preprocessed_image\Q\Q442.jpg,16.0
output/preprocessed_image\S\S10.jpg,18.0
output/preprocessed_image\I\I276.jpg,8.0
output/preprocessed_image\V\V196.jpg,21.0
output/preprocessed_image\B\B155.jpg,1.0
output/preprocessed_image\F\F44.jpg,5.0
output/preprocessed_image\H\H235.jpg,7.0
output/preprocessed_image\I\I342.jpg,8.0
output/preprocessed_image\F\F420.jpg,5.0
output/preprocessed_image\Z\Z443.jpg,25.0
output/preprocessed_image\N\N39.jpg,13.0
output/preprocessed_image\V\V440.jpg,21.0
output/preprocessed_image\Z\Z116.jpg,25.0
output/preprocessed_image\C\C375.jpg,2.0
output/preprocessed_image\T\T496.jpg,19.0
output/preprocessed_image\O\O497.jpg,14.0
output/preprocessed_image\D\D252.jpg,3.0
output/preprocessed_image\Z\Z125.jpg,25.0
output/preprocessed_image\F\F121.jpg,5.0
output/preprocessed_image\Z\Z96.jpg,25.0
output/preprocessed_image\H\H101.jpg,7.0
output/preprocessed_image\S\S145.jpg,18.0
output/preprocessed_image\M\M348.jpg,12.0
output/preprocessed_image\I\I70.jpg,8.0
output/preprocessed_image\E\E61.jpg,4.0
output/preprocessed_image\S\S359.jpg,18.0
output/preprocessed_image\F\F80.jpg,5.0
output/preprocessed_image\I\I136.jpg,8.0
output/preprocessed_image\C\C65.jpg,2.0
output/preprocessed_image\I\I101.jpg,8.0
output/preprocessed_image\X\X172.jpg,23.0
output/preprocessed_image\M\M285.jpg,12.0
output/preprocessed_image\N\N434.jpg,13.0
output/preprocessed_image\H\H467.jpg,7.0
output/preprocessed_image\G\G239.jpg,6.0
output/preprocessed_image\K\K187.jpg,10.0
output/preprocessed_image\Q\Q493.jpg,16.0
output/preprocessed_image\D\D88.jpg,3.0
output/preprocessed_image\V\V91.jpg,21.0
output/preprocessed_image\E\E24.jpg,4.0
output/preprocessed_image\R\R167.jpg,17.0
output/preprocessed_image\T\T251.jpg,19.0
output/preprocessed_image\R\R319.jpg,17.0
output/preprocessed_image\Y\Y433.jpg,24.0
output/preprocessed_image\H\H453.jpg,7.0
output/preprocessed_image\D\D177.jpg,3.0
output/preprocessed_image\N\N128.jpg,13.0
output/preprocessed_image\Y\Y107.jpg,24.0
output/preprocessed_image\F\F404.jpg,5.0
output/preprocessed_image\O\O428.jpg,14.0
output/preprocessed_image\M\M450.jpg,12.0
output/preprocessed_image\G\G385.jpg,6.0
output/preprocessed_image\X\X375.jpg,23.0
output/preprocessed_image\S\S150.jpg,18.0
output/preprocessed_image\C\C184.jpg,2.0
output/preprocessed_image\H\H8.jpg,7.0
output/preprocessed_image\H\H143.jpg,7.0
output/preprocessed_image\V\V289.jpg,21.0
output/preprocessed_image\A\A307.jpg,0.0
output/preprocessed_image\A\A337.jpg,0.0
output/preprocessed_image\K\K107.jpg,10.0
output/preprocessed_image\R\R119.jpg,17.0
output/preprocessed_image\H\H199.jpg,7.0
output/preprocessed_image\E\E480.jpg,4.0
output/preprocessed_image\S\S242.jpg,18.0
output/preprocessed_image\G\G58.jpg,6.0
output/preprocessed_image\I\I135.jpg,8.0
output/preprocessed_image\M\M456.jpg,12.0
output/preprocessed_image\G\G323.jpg,6.0
output/preprocessed_image\Q\Q80.jpg,16.0
output/preprocessed_image\L\L199.jpg,11.0
output/preprocessed_image\H\H190.jpg,7.0
output/preprocessed_image\H\H167.jpg,7.0
output/preprocessed_image\L\L167.jpg,11.0
output/preprocessed_image\Y\Y429.jpg,24.0
output/preprocessed_image\D\D137.jpg,3.0
output/preprocessed_image\J\J431.jpg,9.0
output/preprocessed_image\A\A73.jpg,0.0
output/preprocessed_image\V\V57.jpg,21.0
output/preprocessed_image\E\E436.jpg,4.0
output/preprocessed_image\W\W226.jpg,22.0
output/preprocessed_image\W\W408.jpg,22.0
output/preprocessed_image\S\S440.jpg,18.0
output/preprocessed_image\F\F62.jpg,5.0
output/preprocessed_image\F\F353.jpg,5.0
output/preprocessed_image\nothing\nothing98.jpg,26.0
output/preprocessed_image\I\I328.jpg,8.0
output/preprocessed_image\L\L138.jpg,11.0
output/preprocessed_image\J\J269.jpg,9.0
output/preprocessed_image\O\O219.jpg,14.0
output/preprocessed_image\W\W433.jpg,22.0
output/preprocessed_image\U\U499.jpg,20.0
output/preprocessed_image\B\B286.jpg,1.0
output/preprocessed_image\L\L57.jpg,11.0
output/preprocessed_image\B\B184.jpg,1.0
output/preprocessed_image\T\T490.jpg,19.0
output/preprocessed_image\X\X215.jpg,23.0
output/preprocessed_image\W\W149.jpg,22.0
output/preprocessed_image\N\N2.jpg,13.0
output/preprocessed_image\S\S264.jpg,18.0
output/preprocessed_image\C\C6.jpg,2.0
output/preprocessed_image\D\D331.jpg,3.0
output/preprocessed_image\S\S397.jpg,18.0
output/preprocessed_image\I\I116.jpg,8.0
output/preprocessed_image\I\I226.jpg,8.0
output/preprocessed_image\E\E385.jpg,4.0
output/preprocessed_image\S\S35.jpg,18.0
output/preprocessed_image\F\F376.jpg,5.0
output/preprocessed_image\U\U26.jpg,20.0
output/preprocessed_image\X\X447.jpg,23.0
output/preprocessed_image\nothing\nothing251.jpg,26.0
output/preprocessed_image\E\E311.jpg,4.0
output/preprocessed_image\O\O229.jpg,14.0
output/preprocessed_image\T\T189.jpg,19.0
output/preprocessed_image\P\P279.jpg,15.0
output/preprocessed_image\I\I54.jpg,8.0
output/preprocessed_image\B\B86.jpg,1.0
output/preprocessed_image\N\N92.jpg,13.0
output/preprocessed_image\Z\Z338.jpg,25.0
output/preprocessed_image\P\P70.jpg,15.0
output/preprocessed_image\L\L90.jpg,11.0
output/preprocessed_image\L\L181.jpg,11.0
output/preprocessed_image\F\F102.jpg,5.0
output/preprocessed_image\F\F58.jpg,5.0
output/preprocessed_image\T\T460.jpg,19.0
output/preprocessed_image\Q\Q317.jpg,16.0
output/preprocessed_image\P\P422.jpg,15.0
output/preprocessed_image\E\E207.jpg,4.0
output/preprocessed_image\G\G97.jpg,6.0
output/preprocessed_image\O\O251.jpg,14.0
output/preprocessed_image\N\N421.jpg,13.0
output/preprocessed_image\T\T86.jpg,19.0
output/preprocessed_image\M\M150.jpg,12.0
output/preprocessed_image\F\F233.jpg,5.0
output/preprocessed_image\E\E127.jpg,4.0
output/preprocessed_image\B\B288.jpg,1.0
output/preprocessed_image\W\W262.jpg,22.0
output/preprocessed_image\W\W266.jpg,22.0
output/preprocessed_image\I\I399.jpg,8.0
output/preprocessed_image\nothing\nothing151.jpg,26.0
output/preprocessed_image\nothing\nothing270.jpg,26.0
output/preprocessed_image\A\A155.jpg,0.0
output/preprocessed_image\F\F20.jpg,5.0
output/preprocessed_image\nothing\nothing135.jpg,26.0
output/preprocessed_image\S\S493.jpg,18.0
output/preprocessed_image\M\M165.jpg,12.0
output/preprocessed_image\M\M2.jpg,12.0
output/preprocessed_image\Z\Z420.jpg,25.0
output/preprocessed_image\V\V448.jpg,21.0
output/preprocessed_image\A\A35.jpg,0.0
output/preprocessed_image\nothing\nothing186.jpg,26.0
output/preprocessed_image\I\I345.jpg,8.0
output/preprocessed_image\V\V297.jpg,21.0
output/preprocessed_image\Y\Y422.jpg,24.0
output/preprocessed_image\N\N109.jpg,13.0
output/preprocessed_image\H\H376.jpg,7.0
output/preprocessed_image\G\G56.jpg,6.0
output/preprocessed_image\C\C374.jpg,2.0
output/preprocessed_image\P\P362.jpg,15.0
output/preprocessed_image\nothing\nothing304.jpg,26.0
output/preprocessed_image\E\E59.jpg,4.0
output/preprocessed_image\Q\Q241.jpg,16.0
output/preprocessed_image\M\M106.jpg,12.0
output/preprocessed_image\I\I99.jpg,8.0
output/preprocessed_image\L\L259.jpg,11.0
output/preprocessed_image\O\O247.jpg,14.0
output/preprocessed_image\F\F293.jpg,5.0
output/preprocessed_image\V\V260.jpg,21.0
output/preprocessed_image\B\B0.jpg,1.0
output/preprocessed_image\V\V428.jpg,21.0
output/preprocessed_image\Z\Z217.jpg,25.0
output/preprocessed_image\P\P104.jpg,15.0
output/preprocessed_image\A\A382.jpg,0.0
output/preprocessed_image\K\K328.jpg,10.0
output/preprocessed_image\C\C411.jpg,2.0
output/preprocessed_image\Y\Y401.jpg,24.0
output/preprocessed_image\J\J66.jpg,9.0
output/preprocessed_image\E\E267.jpg,4.0
output/preprocessed_image\D\D290.jpg,3.0
output/preprocessed_image\O\O325.jpg,14.0
output/preprocessed_image\V\V396.jpg,21.0
output/preprocessed_image\G\G483.jpg,6.0
output/preprocessed_image\W\W353.jpg,22.0
output/preprocessed_image\I\I314.jpg,8.0
output/preprocessed_image\R\R156.jpg,17.0
output/preprocessed_image\F\F134.jpg,5.0
output/preprocessed_image\N\N380.jpg,13.0
output/preprocessed_image\A\A215.jpg,0.0
output/preprocessed_image\N\N247.jpg,13.0
output/preprocessed_image\K\K101.jpg,10.0
output/preprocessed_image\J\J13.jpg,9.0
output/preprocessed_image\K\K407.jpg,10.0
output/preprocessed_image\Z\Z394.jpg,25.0
output/preprocessed_image\Q\Q119.jpg,16.0
output/preprocessed_image\V\V476.jpg,21.0
output/preprocessed_image\Z\Z373.jpg,25.0
output/preprocessed_image\L\L378.jpg,11.0
output/preprocessed_image\T\T39.jpg,19.0
output/preprocessed_image\R\R496.jpg,17.0
output/preprocessed_image\P\P496.jpg,15.0
output/preprocessed_image\P\P136.jpg,15.0
output/preprocessed_image\E\E11.jpg,4.0
output/preprocessed_image\D\D336.jpg,3.0
output/preprocessed_image\nothing\nothing245.jpg,26.0
output/preprocessed_image\M\M320.jpg,12.0
output/preprocessed_image\C\C231.jpg,2.0
output/preprocessed_image\A\A376.jpg,0.0
output/preprocessed_image\L\L255.jpg,11.0
output/preprocessed_image\R\R110.jpg,17.0
output/preprocessed_image\L\L430.jpg,11.0
output/preprocessed_image\A\A364.jpg,0.0
output/preprocessed_image\P\P485.jpg,15.0
output/preprocessed_image\Q\Q321.jpg,16.0
output/preprocessed_image\U\U203.jpg,20.0
output/preprocessed_image\R\R181.jpg,17.0
output/preprocessed_image\C\C213.jpg,2.0
output/preprocessed_image\C\C114.jpg,2.0
output/preprocessed_image\M\M189.jpg,12.0
output/preprocessed_image\B\B38.jpg,1.0
output/preprocessed_image\F\F219.jpg,5.0
output/preprocessed_image\L\L166.jpg,11.0
output/preprocessed_image\M\M455.jpg,12.0
output/preprocessed_image\L\L330.jpg,11.0
output/preprocessed_image\Z\Z218.jpg,25.0
output/preprocessed_image\U\U250.jpg,20.0
output/preprocessed_image\Q\Q181.jpg,16.0
output/preprocessed_image\V\V251.jpg,21.0
output/preprocessed_image\C\C434.jpg,2.0
output/preprocessed_image\I\I93.jpg,8.0
output/preprocessed_image\S\S284.jpg,18.0
output/preprocessed_image\N\N321.jpg,13.0
output/preprocessed_image\Y\Y114.jpg,24.0
output/preprocessed_image\U\U56.jpg,20.0
output/preprocessed_image\E\E346.jpg,4.0
output/preprocessed_image\I\I82.jpg,8.0
output/preprocessed_image\X\X153.jpg,23.0
output/preprocessed_image\L\L52.jpg,11.0
output/preprocessed_image\nothing\nothing185.jpg,26.0
output/preprocessed_image\Z\Z372.jpg,25.0
output/preprocessed_image\C\C23.jpg,2.0
output/preprocessed_image\J\J80.jpg,9.0
output/preprocessed_image\H\H303.jpg,7.0
output/preprocessed_image\F\F120.jpg,5.0
output/preprocessed_image\Z\Z344.jpg,25.0
output/preprocessed_image\V\V174.jpg,21.0
output/preprocessed_image\I\I241.jpg,8.0
output/preprocessed_image\K\K181.jpg,10.0
output/preprocessed_image\R\R225.jpg,17.0
output/preprocessed_image\D\D78.jpg,3.0
output/preprocessed_image\B\B408.jpg,1.0
output/preprocessed_image\V\V281.jpg,21.0
output/preprocessed_image\E\E350.jpg,4.0
output/preprocessed_image\Q\Q457.jpg,16.0
output/preprocessed_image\K\K157.jpg,10.0
output/preprocessed_image\Z\Z120.jpg,25.0
output/preprocessed_image\T\T445.jpg,19.0
output/preprocessed_image\L\L140.jpg,11.0
output/preprocessed_image\L\L382.jpg,11.0
output/preprocessed_image\E\E86.jpg,4.0
output/preprocessed_image\X\X221.jpg,23.0
output/preprocessed_image\C\C239.jpg,2.0
output/preprocessed_image\A\A117.jpg,0.0
output/preprocessed_image\Q\Q374.jpg,16.0
output/preprocessed_image\A\A458.jpg,0.0
output/preprocessed_image\G\G456.jpg,6.0
output/preprocessed_image\Z\Z30.jpg,25.0
output/preprocessed_image\W\W454.jpg,22.0
output/preprocessed_image\N\N41.jpg,13.0
