sub_path,target
output/preprocessed_image\J\J122.jpg,9.0
output/preprocessed_image\R\R3255.jpg,17.0
output/preprocessed_image\V\V1060.jpg,21.0
output/preprocessed_image\H\H1864.jpg,7.0
output/preprocessed_image\B\B1852.jpg,1.0
output/preprocessed_image\P\P3023.jpg,15.0
output/preprocessed_image\Z\Z1810.jpg,25.0
output/preprocessed_image\J\J3000.jpg,9.0
output/preprocessed_image\G\G2283.jpg,6.0
output/preprocessed_image\nothing\nothing2268.jpg,26.0
output/preprocessed_image\A\A2387.jpg,0.0
output/preprocessed_image\Z\Z1756.jpg,25.0
output/preprocessed_image\nothing\nothing1640.jpg,26.0
output/preprocessed_image\C\C1346.jpg,2.0
output/preprocessed_image\O\O139.jpg,14.0
output/preprocessed_image\J\J2397.jpg,9.0
output/preprocessed_image\V\V1174.jpg,21.0
output/preprocessed_image\E\E2845.jpg,4.0
output/preprocessed_image\L\L1604.jpg,11.0
output/preprocessed_image\P\P605.jpg,15.0
output/preprocessed_image\K\K2105.jpg,10.0
output/preprocessed_image\T\T2926.jpg,19.0
output/preprocessed_image\E\E3257.jpg,4.0
output/preprocessed_image\N\N2321.jpg,13.0
output/preprocessed_image\U\U2555.jpg,20.0
output/preprocessed_image\N\N364.jpg,13.0
output/preprocessed_image\X\X2242.jpg,23.0
output/preprocessed_image\B\B1183.jpg,1.0
output/preprocessed_image\E\E3340.jpg,4.0
output/preprocessed_image\N\N1629.jpg,13.0
output/preprocessed_image\U\U2520.jpg,20.0
output/preprocessed_image\C\C277.jpg,2.0
output/preprocessed_image\A\A1885.jpg,0.0
output/preprocessed_image\R\R1561.jpg,17.0
output/preprocessed_image\F\F790.jpg,5.0
output/preprocessed_image\B\B2269.jpg,1.0
output/preprocessed_image\B\B1265.jpg,1.0
output/preprocessed_image\S\S1241.jpg,18.0
output/preprocessed_image\O\O2052.jpg,14.0
output/preprocessed_image\G\G774.jpg,6.0
output/preprocessed_image\W\W1332.jpg,22.0
output/preprocessed_image\Q\Q1502.jpg,16.0
output/preprocessed_image\X\X3354.jpg,23.0
output/preprocessed_image\nothing\nothing663.jpg,26.0
output/preprocessed_image\I\I820.jpg,8.0
output/preprocessed_image\W\W267.jpg,22.0
output/preprocessed_image\G\G3060.jpg,6.0
output/preprocessed_image\B\B1706.jpg,1.0
output/preprocessed_image\L\L2950.jpg,11.0
output/preprocessed_image\A\A1823.jpg,0.0
output/preprocessed_image\F\F3248.jpg,5.0
output/preprocessed_image\K\K1612.jpg,10.0
output/preprocessed_image\L\L2016.jpg,11.0
output/preprocessed_image\J\J1391.jpg,9.0
output/preprocessed_image\Y\Y2515.jpg,24.0
output/preprocessed_image\V\V3041.jpg,21.0
output/preprocessed_image\K\K1661.jpg,10.0
output/preprocessed_image\nothing\nothing649.jpg,26.0
output/preprocessed_image\G\G925.jpg,6.0
output/preprocessed_image\F\F646.jpg,5.0
output/preprocessed_image\X\X247.jpg,23.0
output/preprocessed_image\nothing\nothing534.jpg,26.0
output/preprocessed_image\N\N130.jpg,13.0
output/preprocessed_image\L\L1610.jpg,11.0
output/preprocessed_image\H\H2110.jpg,7.0
output/preprocessed_image\C\C2961.jpg,2.0
output/preprocessed_image\A\A3116.jpg,0.0
output/preprocessed_image\B\B175.jpg,1.0
output/preprocessed_image\A\A1208.jpg,0.0
output/preprocessed_image\Z\Z2898.jpg,25.0
output/preprocessed_image\R\R1896.jpg,17.0
output/preprocessed_image\O\O1852.jpg,14.0
output/preprocessed_image\B\B1199.jpg,1.0
output/preprocessed_image\D\D336.jpg,3.0
output/preprocessed_image\N\N1926.jpg,13.0
output/preprocessed_image\M\M1076.jpg,12.0
output/preprocessed_image\A\A604.jpg,0.0
output/preprocessed_image\Z\Z2406.jpg,25.0
output/preprocessed_image\G\G1175.jpg,6.0
output/preprocessed_image\S\S2662.jpg,18.0
output/preprocessed_image\Y\Y544.jpg,24.0
output/preprocessed_image\K\K2220.jpg,10.0
output/preprocessed_image\S\S2228.jpg,18.0
output/preprocessed_image\H\H1440.jpg,7.0
output/preprocessed_image\X\X2873.jpg,23.0
output/preprocessed_image\G\G2453.jpg,6.0
output/preprocessed_image\B\B63.jpg,1.0
output/preprocessed_image\O\O1249.jpg,14.0
output/preprocessed_image\B\B2437.jpg,1.0
output/preprocessed_image\A\A3331.jpg,0.0
output/preprocessed_image\C\C1638.jpg,2.0
output/preprocessed_image\L\L2077.jpg,11.0
output/preprocessed_image\V\V2182.jpg,21.0
output/preprocessed_image\Q\Q1192.jpg,16.0
output/preprocessed_image\C\C89.jpg,2.0
output/preprocessed_image\L\L333.jpg,11.0
output/preprocessed_image\Y\Y1484.jpg,24.0
output/preprocessed_image\O\O881.jpg,14.0
output/preprocessed_image\D\D3218.jpg,3.0
output/preprocessed_image\P\P1233.jpg,15.0
output/preprocessed_image\U\U1360.jpg,20.0
output/preprocessed_image\X\X1016.jpg,23.0
output/preprocessed_image\O\O3044.jpg,14.0
output/preprocessed_image\J\J1188.jpg,9.0
output/preprocessed_image\T\T1375.jpg,19.0
output/preprocessed_image\W\W321.jpg,22.0
output/preprocessed_image\Y\Y584.jpg,24.0
output/preprocessed_image\L\L2918.jpg,11.0
output/preprocessed_image\H\H118.jpg,7.0
output/preprocessed_image\F\F121.jpg,5.0
output/preprocessed_image\E\E789.jpg,4.0
output/preprocessed_image\J\J2221.jpg,9.0
output/preprocessed_image\I\I2877.jpg,8.0
output/preprocessed_image\O\O787.jpg,14.0
output/preprocessed_image\U\U1650.jpg,20.0
output/preprocessed_image\G\G3015.jpg,6.0
output/preprocessed_image\S\S1335.jpg,18.0
output/preprocessed_image\P\P1210.jpg,15.0
output/preprocessed_image\J\J1371.jpg,9.0
output/preprocessed_image\G\G2385.jpg,6.0
output/preprocessed_image\U\U3396.jpg,20.0
output/preprocessed_image\P\P172.jpg,15.0
output/preprocessed_image\I\I2283.jpg,8.0
output/preprocessed_image\X\X1356.jpg,23.0
output/preprocessed_image\M\M1574.jpg,12.0
output/preprocessed_image\Y\Y1434.jpg,24.0
output/preprocessed_image\K\K566.jpg,10.0
output/preprocessed_image\A\A2067.jpg,0.0
output/preprocessed_image\F\F753.jpg,5.0
output/preprocessed_image\R\R2082.jpg,17.0
output/preprocessed_image\C\C207.jpg,2.0
output/preprocessed_image\F\F1041.jpg,5.0
output/preprocessed_image\J\J2418.jpg,9.0
output/preprocessed_image\H\H3273.jpg,7.0
output/preprocessed_image\U\U1972.jpg,20.0
output/preprocessed_image\R\R2248.jpg,17.0
output/preprocessed_image\U\U2298.jpg,20.0
output/preprocessed_image\P\P2932.jpg,15.0
output/preprocessed_image\N\N879.jpg,13.0
output/preprocessed_image\W\W1245.jpg,22.0
output/preprocessed_image\nothing\nothing1764.jpg,26.0
output/preprocessed_image\C\C70.jpg,2.0
output/preprocessed_image\M\M298.jpg,12.0
output/preprocessed_image\T\T276.jpg,19.0
output/preprocessed_image\U\U1702.jpg,20.0
output/preprocessed_image\C\C1437.jpg,2.0
output/preprocessed_image\T\T851.jpg,19.0
output/preprocessed_image\C\C726.jpg,2.0
output/preprocessed_image\E\E2220.jpg,4.0
output/preprocessed_image\V\V1688.jpg,21.0
output/preprocessed_image\R\R1569.jpg,17.0
output/preprocessed_image\Q\Q1931.jpg,16.0
output/preprocessed_image\S\S1182.jpg,18.0
output/preprocessed_image\V\V1287.jpg,21.0
output/preprocessed_image\G\G2825.jpg,6.0
output/preprocessed_image\E\E893.jpg,4.0
output/preprocessed_image\G\G2298.jpg,6.0
output/preprocessed_image\N\N1414.jpg,13.0
output/preprocessed_image\X\X1432.jpg,23.0
output/preprocessed_image\A\A27.jpg,0.0
output/preprocessed_image\N\N2579.jpg,13.0
output/preprocessed_image\N\N2184.jpg,13.0
output/preprocessed_image\U\U1901.jpg,20.0
output/preprocessed_image\N\N721.jpg,13.0
output/preprocessed_image\K\K1526.jpg,10.0
output/preprocessed_image\W\W1577.jpg,22.0
output/preprocessed_image\G\G2544.jpg,6.0
output/preprocessed_image\O\O2595.jpg,14.0
output/preprocessed_image\A\A3170.jpg,0.0
output/preprocessed_image\T\T1778.jpg,19.0
output/preprocessed_image\P\P1297.jpg,15.0
output/preprocessed_image\E\E1861.jpg,4.0
output/preprocessed_image\nothing\nothing2331.jpg,26.0
output/preprocessed_image\G\G2809.jpg,6.0
output/preprocessed_image\L\L2746.jpg,11.0
output/preprocessed_image\N\N230.jpg,13.0
output/preprocessed_image\E\E1876.jpg,4.0
output/preprocessed_image\U\U909.jpg,20.0
output/preprocessed_image\H\H532.jpg,7.0
output/preprocessed_image\A\A503.jpg,0.0
output/preprocessed_image\F\F1380.jpg,5.0
output/preprocessed_image\R\R2986.jpg,17.0
output/preprocessed_image\B\B2830.jpg,1.0
output/preprocessed_image\H\H3151.jpg,7.0
output/preprocessed_image\R\R2843.jpg,17.0
output/preprocessed_image\D\D2601.jpg,3.0
output/preprocessed_image\Q\Q104.jpg,16.0
output/preprocessed_image\O\O1846.jpg,14.0
output/preprocessed_image\I\I1152.jpg,8.0
output/preprocessed_image\Q\Q1877.jpg,16.0
output/preprocessed_image\nothing\nothing2465.jpg,26.0
output/preprocessed_image\P\P2860.jpg,15.0
output/preprocessed_image\P\P663.jpg,15.0
output/preprocessed_image\T\T2436.jpg,19.0
output/preprocessed_image\P\P2127.jpg,15.0
output/preprocessed_image\Q\Q3247.jpg,16.0
output/preprocessed_image\H\H2911.jpg,7.0
output/preprocessed_image\E\E3017.jpg,4.0
output/preprocessed_image\Q\Q3125.jpg,16.0
output/preprocessed_image\M\M364.jpg,12.0
output/preprocessed_image\S\S2824.jpg,18.0
output/preprocessed_image\T\T68.jpg,19.0
output/preprocessed_image\T\T3042.jpg,19.0
output/preprocessed_image\S\S1240.jpg,18.0
output/preprocessed_image\S\S1706.jpg,18.0
output/preprocessed_image\nothing\nothing3.jpg,26.0
output/preprocessed_image\Z\Z1485.jpg,25.0
output/preprocessed_image\K\K2846.jpg,10.0
output/preprocessed_image\N\N2362.jpg,13.0
output/preprocessed_image\J\J3046.jpg,9.0
output/preprocessed_image\O\O1709.jpg,14.0
output/preprocessed_image\N\N789.jpg,13.0
output/preprocessed_image\Z\Z1119.jpg,25.0
output/preprocessed_image\A\A2539.jpg,0.0
output/preprocessed_image\Q\Q2762.jpg,16.0
output/preprocessed_image\C\C1320.jpg,2.0
output/preprocessed_image\W\W2165.jpg,22.0
output/preprocessed_image\W\W191.jpg,22.0
output/preprocessed_image\P\P2333.jpg,15.0
output/preprocessed_image\A\A3364.jpg,0.0
output/preprocessed_image\C\C1473.jpg,2.0
output/preprocessed_image\H\H106.jpg,7.0
output/preprocessed_image\W\W2284.jpg,22.0
output/preprocessed_image\T\T1145.jpg,19.0
output/preprocessed_image\K\K0.jpg,10.0
output/preprocessed_image\H\H1348.jpg,7.0
output/preprocessed_image\Q\Q849.jpg,16.0
output/preprocessed_image\O\O1638.jpg,14.0
output/preprocessed_image\B\B138.jpg,1.0
output/preprocessed_image\C\C2740.jpg,2.0
output/preprocessed_image\V\V1885.jpg,21.0
output/preprocessed_image\O\O234.jpg,14.0
output/preprocessed_image\P\P2507.jpg,15.0
output/preprocessed_image\X\X598.jpg,23.0
output/preprocessed_image\J\J3158.jpg,9.0
output/preprocessed_image\nothing\nothing406.jpg,26.0
output/preprocessed_image\Q\Q385.jpg,16.0
output/preprocessed_image\U\U899.jpg,20.0
output/preprocessed_image\F\F405.jpg,5.0
output/preprocessed_image\N\N504.jpg,13.0
output/preprocessed_image\X\X1144.jpg,23.0
output/preprocessed_image\M\M1507.jpg,12.0
output/preprocessed_image\X\X479.jpg,23.0
output/preprocessed_image\T\T124.jpg,19.0
output/preprocessed_image\W\W924.jpg,22.0
output/preprocessed_image\A\A426.jpg,0.0
output/preprocessed_image\T\T1730.jpg,19.0
output/preprocessed_image\E\E2269.jpg,4.0
output/preprocessed_image\D\D27.jpg,3.0
output/preprocessed_image\Y\Y3115.jpg,24.0
output/preprocessed_image\D\D2389.jpg,3.0
output/preprocessed_image\C\C1779.jpg,2.0
output/preprocessed_image\N\N1935.jpg,13.0
output/preprocessed_image\E\E2341.jpg,4.0
output/preprocessed_image\F\F1671.jpg,5.0
output/preprocessed_image\Y\Y3158.jpg,24.0
output/preprocessed_image\V\V2506.jpg,21.0
output/preprocessed_image\P\P2453.jpg,15.0
output/preprocessed_image\C\C1674.jpg,2.0
output/preprocessed_image\W\W3128.jpg,22.0
output/preprocessed_image\A\A1985.jpg,0.0
output/preprocessed_image\V\V2270.jpg,21.0
output/preprocessed_image\H\H1720.jpg,7.0
output/preprocessed_image\D\D2526.jpg,3.0
output/preprocessed_image\Q\Q1522.jpg,16.0
output/preprocessed_image\U\U975.jpg,20.0
output/preprocessed_image\W\W576.jpg,22.0
output/preprocessed_image\L\L20.jpg,11.0
output/preprocessed_image\X\X2625.jpg,23.0
output/preprocessed_image\W\W1793.jpg,22.0
output/preprocessed_image\X\X1735.jpg,23.0
output/preprocessed_image\X\X1750.jpg,23.0
output/preprocessed_image\D\D2738.jpg,3.0
output/preprocessed_image\P\P3185.jpg,15.0
output/preprocessed_image\V\V1487.jpg,21.0
output/preprocessed_image\N\N432.jpg,13.0
output/preprocessed_image\T\T2008.jpg,19.0
output/preprocessed_image\J\J1475.jpg,9.0
output/preprocessed_image\Q\Q845.jpg,16.0
output/preprocessed_image\M\M2091.jpg,12.0
output/preprocessed_image\X\X2580.jpg,23.0
output/preprocessed_image\I\I2990.jpg,8.0
output/preprocessed_image\D\D2448.jpg,3.0
output/preprocessed_image\I\I1881.jpg,8.0
output/preprocessed_image\C\C538.jpg,2.0
output/preprocessed_image\A\A1724.jpg,0.0
output/preprocessed_image\Y\Y1714.jpg,24.0
output/preprocessed_image\O\O1621.jpg,14.0
output/preprocessed_image\D\D2788.jpg,3.0
output/preprocessed_image\O\O2127.jpg,14.0
output/preprocessed_image\Z\Z164.jpg,25.0
output/preprocessed_image\F\F169.jpg,5.0
output/preprocessed_image\B\B2032.jpg,1.0
output/preprocessed_image\V\V1566.jpg,21.0
output/preprocessed_image\H\H2531.jpg,7.0
output/preprocessed_image\N\N1901.jpg,13.0
output/preprocessed_image\D\D2845.jpg,3.0
output/preprocessed_image\T\T29.jpg,19.0
output/preprocessed_image\L\L112.jpg,11.0
output/preprocessed_image\R\R943.jpg,17.0
output/preprocessed_image\H\H261.jpg,7.0
output/preprocessed_image\P\P92.jpg,15.0
output/preprocessed_image\I\I2068.jpg,8.0
output/preprocessed_image\J\J462.jpg,9.0
output/preprocessed_image\U\U2943.jpg,20.0
output/preprocessed_image\X\X2528.jpg,23.0
output/preprocessed_image\C\C614.jpg,2.0
output/preprocessed_image\U\U2462.jpg,20.0
output/preprocessed_image\H\H3363.jpg,7.0
output/preprocessed_image\L\L900.jpg,11.0
output/preprocessed_image\G\G1078.jpg,6.0
output/preprocessed_image\U\U817.jpg,20.0
output/preprocessed_image\L\L2505.jpg,11.0
output/preprocessed_image\W\W1658.jpg,22.0
output/preprocessed_image\G\G2028.jpg,6.0
output/preprocessed_image\P\P3193.jpg,15.0
output/preprocessed_image\T\T2394.jpg,19.0
output/preprocessed_image\L\L1316.jpg,11.0
output/preprocessed_image\O\O1533.jpg,14.0
output/preprocessed_image\Y\Y1406.jpg,24.0
output/preprocessed_image\A\A2492.jpg,0.0
output/preprocessed_image\V\V89.jpg,21.0
output/preprocessed_image\M\M2613.jpg,12.0
output/preprocessed_image\M\M1942.jpg,12.0
output/preprocessed_image\V\V1029.jpg,21.0
output/preprocessed_image\K\K1338.jpg,10.0
output/preprocessed_image\U\U2941.jpg,20.0
output/preprocessed_image\O\O327.jpg,14.0
output/preprocessed_image\E\E2929.jpg,4.0
output/preprocessed_image\J\J1884.jpg,9.0
output/preprocessed_image\W\W1675.jpg,22.0
output/preprocessed_image\C\C2588.jpg,2.0
output/preprocessed_image\W\W1355.jpg,22.0
output/preprocessed_image\M\M2888.jpg,12.0
output/preprocessed_image\S\S960.jpg,18.0
output/preprocessed_image\L\L2928.jpg,11.0
output/preprocessed_image\U\U3229.jpg,20.0
output/preprocessed_image\D\D258.jpg,3.0
output/preprocessed_image\K\K70.jpg,10.0
output/preprocessed_image\O\O2968.jpg,14.0
output/preprocessed_image\P\P732.jpg,15.0
output/preprocessed_image\D\D2570.jpg,3.0
output/preprocessed_image\L\L1165.jpg,11.0
output/preprocessed_image\Y\Y1672.jpg,24.0
output/preprocessed_image\U\U1563.jpg,20.0
output/preprocessed_image\F\F2586.jpg,5.0
output/preprocessed_image\U\U1007.jpg,20.0
output/preprocessed_image\Z\Z2518.jpg,25.0
output/preprocessed_image\G\G3117.jpg,6.0
output/preprocessed_image\M\M1973.jpg,12.0
output/preprocessed_image\D\D578.jpg,3.0
output/preprocessed_image\E\E1551.jpg,4.0
output/preprocessed_image\Z\Z3241.jpg,25.0
output/preprocessed_image\A\A3086.jpg,0.0
output/preprocessed_image\M\M2962.jpg,12.0
output/preprocessed_image\D\D2896.jpg,3.0
output/preprocessed_image\B\B2738.jpg,1.0
output/preprocessed_image\E\E2449.jpg,4.0
output/preprocessed_image\F\F1442.jpg,5.0
output/preprocessed_image\N\N2755.jpg,13.0
output/preprocessed_image\E\E2391.jpg,4.0
output/preprocessed_image\S\S2745.jpg,18.0
output/preprocessed_image\P\P2288.jpg,15.0
output/preprocessed_image\L\L74.jpg,11.0
output/preprocessed_image\D\D3210.jpg,3.0
output/preprocessed_image\E\E77.jpg,4.0
output/preprocessed_image\T\T540.jpg,19.0
output/preprocessed_image\O\O3051.jpg,14.0
output/preprocessed_image\J\J3241.jpg,9.0
output/preprocessed_image\H\H866.jpg,7.0
output/preprocessed_image\L\L1912.jpg,11.0
output/preprocessed_image\S\S516.jpg,18.0
output/preprocessed_image\R\R2131.jpg,17.0
output/preprocessed_image\M\M1088.jpg,12.0
output/preprocessed_image\D\D2342.jpg,3.0
output/preprocessed_image\H\H2598.jpg,7.0
output/preprocessed_image\T\T3001.jpg,19.0
output/preprocessed_image\P\P3367.jpg,15.0
output/preprocessed_image\N\N863.jpg,13.0
output/preprocessed_image\L\L2983.jpg,11.0
output/preprocessed_image\D\D1086.jpg,3.0
output/preprocessed_image\I\I3187.jpg,8.0
output/preprocessed_image\X\X1856.jpg,23.0
output/preprocessed_image\C\C2297.jpg,2.0
output/preprocessed_image\G\G627.jpg,6.0
output/preprocessed_image\L\L246.jpg,11.0
output/preprocessed_image\M\M1054.jpg,12.0
output/preprocessed_image\Y\Y1250.jpg,24.0
output/preprocessed_image\S\S3088.jpg,18.0
output/preprocessed_image\P\P2733.jpg,15.0
output/preprocessed_image\Q\Q2023.jpg,16.0
output/preprocessed_image\O\O1286.jpg,14.0
output/preprocessed_image\N\N3039.jpg,13.0
output/preprocessed_image\S\S2298.jpg,18.0
output/preprocessed_image\nothing\nothing3156.jpg,26.0
output/preprocessed_image\I\I634.jpg,8.0
output/preprocessed_image\F\F844.jpg,5.0
output/preprocessed_image\G\G746.jpg,6.0
output/preprocessed_image\N\N452.jpg,13.0
output/preprocessed_image\K\K2836.jpg,10.0
output/preprocessed_image\Y\Y549.jpg,24.0
output/preprocessed_image\T\T3242.jpg,19.0
output/preprocessed_image\L\L3144.jpg,11.0
output/preprocessed_image\V\V2853.jpg,21.0
output/preprocessed_image\R\R3213.jpg,17.0
output/preprocessed_image\nothing\nothing1437.jpg,26.0
output/preprocessed_image\N\N637.jpg,13.0
output/preprocessed_image\Z\Z2305.jpg,25.0
output/preprocessed_image\V\V2217.jpg,21.0
output/preprocessed_image\R\R1812.jpg,17.0
output/preprocessed_image\N\N825.jpg,13.0
output/preprocessed_image\K\K457.jpg,10.0
output/preprocessed_image\E\E2010.jpg,4.0
output/preprocessed_image\S\S2882.jpg,18.0
output/preprocessed_image\Z\Z1055.jpg,25.0
output/preprocessed_image\X\X349.jpg,23.0
output/preprocessed_image\S\S2970.jpg,18.0
output/preprocessed_image\M\M1848.jpg,12.0
output/preprocessed_image\D\D805.jpg,3.0
output/preprocessed_image\Y\Y2584.jpg,24.0
output/preprocessed_image\H\H3041.jpg,7.0
output/preprocessed_image\D\D1667.jpg,3.0
output/preprocessed_image\Q\Q1697.jpg,16.0
output/preprocessed_image\X\X1160.jpg,23.0
output/preprocessed_image\C\C3064.jpg,2.0
output/preprocessed_image\C\C340.jpg,2.0
output/preprocessed_image\P\P2653.jpg,15.0
output/preprocessed_image\H\H2273.jpg,7.0
output/preprocessed_image\C\C2358.jpg,2.0
output/preprocessed_image\K\K898.jpg,10.0
output/preprocessed_image\C\C1826.jpg,2.0
output/preprocessed_image\X\X2677.jpg,23.0
output/preprocessed_image\F\F1843.jpg,5.0
output/preprocessed_image\J\J3285.jpg,9.0
output/preprocessed_image\J\J717.jpg,9.0
output/preprocessed_image\V\V594.jpg,21.0
output/preprocessed_image\Z\Z1418.jpg,25.0
output/preprocessed_image\L\L2.jpg,11.0
output/preprocessed_image\N\N2693.jpg,13.0
output/preprocessed_image\T\T270.jpg,19.0
output/preprocessed_image\F\F3364.jpg,5.0
output/preprocessed_image\L\L38.jpg,11.0
output/preprocessed_image\K\K1468.jpg,10.0
output/preprocessed_image\E\E3321.jpg,4.0
output/preprocessed_image\R\R3048.jpg,17.0
output/preprocessed_image\K\K2331.jpg,10.0
output/preprocessed_image\C\C1736.jpg,2.0
output/preprocessed_image\J\J1513.jpg,9.0
output/preprocessed_image\B\B3034.jpg,1.0
output/preprocessed_image\Z\Z2927.jpg,25.0
output/preprocessed_image\nothing\nothing1696.jpg,26.0
output/preprocessed_image\M\M2288.jpg,12.0
output/preprocessed_image\Z\Z1342.jpg,25.0
output/preprocessed_image\L\L2618.jpg,11.0
output/preprocessed_image\N\N337.jpg,13.0
output/preprocessed_image\U\U1941.jpg,20.0
output/preprocessed_image\Y\Y596.jpg,24.0
output/preprocessed_image\L\L1505.jpg,11.0
output/preprocessed_image\K\K936.jpg,10.0
output/preprocessed_image\V\V2722.jpg,21.0
output/preprocessed_image\Z\Z766.jpg,25.0
output/preprocessed_image\H\H2180.jpg,7.0
output/preprocessed_image\E\E3319.jpg,4.0
output/preprocessed_image\F\F552.jpg,5.0
output/preprocessed_image\L\L787.jpg,11.0
output/preprocessed_image\E\E1681.jpg,4.0
output/preprocessed_image\G\G2486.jpg,6.0
output/preprocessed_image\J\J689.jpg,9.0
output/preprocessed_image\C\C737.jpg,2.0
output/preprocessed_image\Q\Q1676.jpg,16.0
